institution,fiscal_year,study_level,gender,headcount
Lakehead,2014-2015,Undergraduate,Female,3589
Lakehead,2014-2015,Undergraduate,Male,2646
Lakehead,2014-2015,Graduate,Female,461
Lakehead,2014-2015,Graduate,Male,334
Lakehead,2015-2016,Undergraduate,Female,3240
Lakehead,2015-2016,Undergraduate,Male,2485
Lakehead,2015-2016,Graduate,Female,523
Lakehead,2015-2016,Graduate,Male,368
Lakehead,2016-2017,Undergraduate,Female,3330
Lakehead,2016-2017,Undergraduate,Male,2593
Lakehead,2016-2017,Graduate,Female,589
Lakehead,2016-2017,Graduate,Male,454
Lakehead,2017-2018,Undergraduate,Female,3107
Lakehead,2017-2018,Undergraduate,Male,2589
Lakehead,2017-2018,Graduate,Female,646
Lakehead,2017-2018,Graduate,Male,572
Lakehead,2017-2018,Graduate,N/A or Another,0
Lakehead,2018-2019,Undergraduate,Female,3148
Lakehead,2018-2019,Undergraduate,Male,2693
Lakehead,2018-2019,Graduate,Female,693
Lakehead,2018-2019,Graduate,Male,606
Lakehead,2019-2020,Undergraduate,Female,3255
Lakehead,2019-2020,Undergraduate,Male,2605
Lakehead,2019-2020,Graduate,Female,761
Lakehead,2019-2020,Graduate,Male,686
Lakehead,2020-2021,Undergraduate,Female,3284
Lakehead,2020-2021,Undergraduate,Male,2416
Lakehead,2020-2021,Undergraduate,N/A or Another,56
Lakehead,2020-2021,Graduate,Female,703
Lakehead,2020-2021,Graduate,Male,603
Lakehead,2021-2022,Undergraduate,Female,3289
Lakehead,2021-2022,Undergraduate,Male,2246
Lakehead,2021-2022,Undergraduate,N/A or Another,126
Lakehead,2021-2022,Graduate,Female,788
Lakehead,2021-2022,Graduate,Male,639
Lakehead,2022-2023,Undergraduate,Female,3273
Lakehead,2022-2023,Undergraduate,Male,2175
Lakehead,2022-2023,Undergraduate,N/A or Another,139
Lakehead,2022-2023,Graduate,Female,823
Lakehead,2022-2023,Graduate,Male,637
Lakehead,2023-2024,Undergraduate,Female,3292
Lakehead,2023-2024,Undergraduate,Male,2213
Lakehead,2023-2024,Undergraduate,N/A or Another,170
Lakehead,2023-2024,Graduate,Female,975
Lakehead,2023-2024,Graduate,Male,760
Lakehead,2023-2024,Graduate,N/A or Another,12
